,Type, Floor, Area, Structure, Inarea, Architectural_type, Orientation, Building_structure, Situation, Ratio, Elevator, Years, Price, PerPrice, Region, No
80,3室2厅1厨2卫,高楼层 (共25层),136.41㎡,平层,暂无数据,板楼,南 北,框架结构,简装,两梯四户,有,70年,195万,14296元/平米,安宁区 海关 ,
81,2室1厅1厨1卫,高楼层 (共7层),47㎡,平层,暂无数据,板楼,南 北,框架结构,简装,一梯三户,无,70年,65万,13830元/平米,西固区 西固区 ,
82,2室2厅1厨1卫,低楼层 (共30层),82.22㎡,平层,66.31㎡,板楼,南,钢混结构,精装,两梯四户,有,70年,104.9万,12759元/平米,安宁区 安宁科教城 ,
83,1室0厅1厨1卫,高楼层 (共25层),40.67㎡,平层,33.34㎡,塔楼,北,钢混结构,简装,一梯十一户,无,70年,71.9万,17679元/平米,城关区 火车站 ,
84,3室2厅1厨2卫,高楼层 (共27层),110.62㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,一梯两户,有,70年,103万,9312元/平米,城关区 碧桂园 ,
85,1室1厅1厨1卫,中楼层 (共25层),58㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯八户,有,70年,60万,10345元/平米,城关区 碧桂园 ,
86,3室2厅1厨2卫,低楼层 (共26层),136㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,有,70年,136万,10000元/平米,城关区 碧桂园 ,
87,2室2厅1厨1卫,低楼层 (共25层),75.52㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯八户,有,70年,66万,8740元/平米,城关区 碧桂园 ,
88,3室2厅1厨1卫,低楼层 (共24层),106.27㎡,平层,77.74㎡,板楼,南,钢混结构,精装,两梯三户,有,70年,110万,10351元/平米,城关区 碧桂园 ,
89,4室2厅1厨2卫,低楼层 (共18层),140㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,有,70年,133万,9500元/平米,城关区 碧桂园 ,
90,3室2厅1厨1卫,中楼层 (共26层),100.26㎡,平层,77.46㎡,塔楼,南 北,框架结构,精装,两梯四户,有,70年,104万,10374元/平米,城关区 碧桂园 ,
91,3室2厅1厨2卫,中楼层 (共6层),125.65㎡,平层,暂无数据,板楼,南 北,框架结构,简装,一梯两户,无,70年,215万,17112元/平米,城关区 大润发 ,
92,3室2厅1厨1卫,高楼层 (共29层),102.22㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,70年,108万,10566元/平米,城关区 碧桂园 ,
93,2室1厅1厨1卫,低楼层 (共6层),70.25㎡,平层,暂无数据,暂无数据,南 北,未知结构,简装,一梯三户,暂无数据,70年,72.5万,10321元/平米,安宁区 费家营十子 ,
94,3室2厅1厨1卫,中楼层 (共30层),110㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯两户,有,70年,105万,9546元/平米,城关区 碧桂园 ,
95,2室2厅1厨1卫,中楼层 (共8层),96㎡,平层,暂无数据,板楼,东 西,框架结构,简装,一梯两户,无,70年,82万,8542元/平米,西固区 西固区 ,
96,3室2厅1厨1卫,低楼层 (共32层),108㎡,平层,85.35㎡,板楼,南 北,钢混结构,精装,两梯四户,有,70年,160万,14815元/平米,安宁区 莫高大道 ,
97,3室2厅1厨2卫,高楼层 (共18层),142.74㎡,平层,120.88㎡,塔楼,西 东北,框架结构,简装,一梯三户,暂无数据,70年,218万,15273元/平米,城关区 大润发 ,
98,3室2厅1厨2卫,中楼层 (共24层),127.51㎡,平层,101.87㎡,板楼,南,框架结构,精装,两梯六户,有,70年,165万,12941元/平米,城关区 北面滩 ,
99,3室2厅1厨1卫,中楼层 (共12层),110.38㎡,平层,89.31㎡,板楼,南 北,框架结构,简装,一梯两户,暂无数据,70年,148万,13409元/平米,城关区 东部 ,
100,3室2厅1厨2卫,中楼层 (共8层),115.63㎡,平层,暂无数据,板塔结合,南 北,框架结构,精装,一梯两户,暂无数据,70年,158万,13665元/平米,城关区 西关南关 ,
101,5室2厅1厨3卫,中楼层 (共23层),334㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯两户,有,70年,430万,12875元/平米,城关区 碧桂园 ,
102,2室2厅1厨1卫,低楼层 (共26层),124㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯三户,有,70年,150万,12097元/平米,城关区 碧桂园 ,
103,2室1厅1厨1卫,高楼层 (共33层),100㎡,复式,77㎡,板楼,南 北,钢混结构,精装,一梯六户,无,70年,260万,26000元/平米,城关区 火车站 ,
104,2室1厅1厨1卫,高楼层 (共8层),76.41㎡,平层,暂无数据,板楼,南 北,钢结构,简装,一梯三户,无,70年,98万,12826元/平米,城关区 火车站 ,
105,3室1厅1厨2卫,高楼层 (共18层),122.67㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,有,70年,165万,13451元/平米,安宁区 莫高大道 ,
106,2室1厅1厨1卫,低楼层 (共7层),49㎡,平层,暂无数据,板楼,南,框架结构,简装,一梯三户,无,70年,55万,11225元/平米,西固区 西固区 ,
107,1室1厅1厨1卫,高楼层 (共30层),55.8㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯十户,有,70年,68万,12187元/平米,城关区 碧桂园 ,
108,2室2厅1厨1卫,低楼层 (共33层),72.41㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯六户,无,70年,126万,17401元/平米,安宁区 费家营十子 ,
109,3室0厅1厨1卫,低楼层 (共17层),76.4㎡,平层,暂无数据,塔楼,东北,框架结构,简装,两梯六户,有,70年,140万,18325元/平米,城关区 东方红广场 ,
110,2室2厅1厨1卫,低楼层 (共31层),90.33㎡,平层,暂无数据,板楼,西南,框架结构,精装,三梯六户,有,70年,168万,18599元/平米,城关区 兰大盘旋路 ,
111,2室2厅1厨1卫,高楼层 (共7层),76.63㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,无,70年,170万,22185元/平米,城关区 兰大盘旋路 ,
112,2室1厅1厨1卫,低楼层 (共8层),83.2㎡,平层,73.77㎡,板楼,东 西,钢混结构,精装,一梯两户,无,70年,95万,11419元/平米,城关区 火车站 ,
113,2室2厅1厨1卫,高楼层 (共12层),99.08㎡,平层,84.66㎡,板楼,南 北,框架结构,精装,一梯四户,无,70年,122万,12314元/平米,城关区 东部 ,
114,3室2厅1厨1卫,中楼层 (共8层),91.04㎡,平层,80.69㎡,板楼,东 西,框架结构,简装,一梯两户,无,70年,106万,11644元/平米,城关区 雁滩高新区 ,
115,2室2厅1厨1卫,中楼层 (共8层),80.79㎡,平层,72.11㎡,板楼,东 西,框架结构,精装,一梯三户,无,70年,94万,11636元/平米,城关区 东湖宾馆 ,
116,2室2厅1厨1卫,中楼层 (共34层),81.45㎡,平层,64.64㎡,板楼,南,钢混结构,精装,一梯四户,无,70年,120万,14733元/平米,安宁区 莫高大道 ,
117,2室2厅1厨1卫,中楼层 (共5层),75.67㎡,平层,暂无数据,板楼,西,框架结构,简装,一梯四户,无,70年,82.7万,10930元/平米,安宁区 费家营十子 ,
118,2室1厅1厨1卫,中楼层 (共8层),76.38㎡,平层,68.11㎡,板楼,南,框架结构,简装,一梯四户,无,70年,73万,9558元/平米,城关区 东湖宾馆 ,
119,2室2厅1厨2卫,低楼层 (共6层),100.55㎡,平层,87.71㎡,板楼,南 北,框架结构,精装,一梯两户,无,70年,140万,13924元/平米,城关区 北面滩 ,
120,2室1厅1厨1卫,中楼层 (共8层),77.8㎡,平层,暂无数据,板楼,东 西,钢混结构,精装,一梯两户,无,70年,108万,13882元/平米,城关区 东方红广场 ,
121,2室1厅1厨1卫,高楼层 (共8层),58.74㎡,平层,52.03㎡,板楼,南,框架结构,精装,一梯三户,无,70年,71万,12088元/平米,城关区 东部 ,
122,2室1厅1厨1卫,中楼层 (共10层),74.93㎡,平层,暂无数据,板楼,东 西,框架结构,简装,一梯三户,有,70年,95万,12679元/平米,城关区 东部 ,
