,Type,Floor,Area,Structure,Inarea,Architectural_type,Orientation,Building_structure,Situation,Ratio,Elevator,Years,Price,PerPrice,Region,No,No,No
144,3室2厅1厨2卫,中楼层 (共18层),117.38,平层,97.74㎡,塔楼,南 北,钢混结构,简装,两梯四户,有,70年,164.8,14040,安宁区,,,
145,2室2厅1厨1卫,中楼层 (共17层),93,平层,76.96㎡,板楼,南 北,钢结构,精装,一梯三户,有,70年,96,10323,七里河区,,,
146,2室2厅1厨1卫,中楼层 (共10层),130.07,平层,暂无数据,板塔结合,南 北,框架结构,简装,一梯三户,有,70年,154,11840,城关区,,,
147,3室2厅1厨2卫,低楼层 (共18层),122,平层,暂无数据,板楼,南 北,框架结构,毛坯,两梯两户,有,70年,185,15164,安宁区,,,
148,3室2厅1厨2卫,低楼层 (共17层),122,平层,暂无数据,板楼,南 北,框架结构,毛坯,两梯四户,有,70年,159,13033,七里河区,,,
149,3室2厅1厨1卫,高楼层 (共8层),119.55,平层,暂无数据,板楼,南 北,框架结构,简装,一梯两户,无,70年,145,12129,城关区,,,
150,3室2厅1厨1卫,中楼层 (共8层),97.3,平层,暂无数据,板楼,南 北,框架结构,简装,一梯两户,无,70年,158,16239,城关区,,,
151,3室2厅1厨1卫,中楼层 (共11层),149,平层,暂无数据,板楼,南 北,框架结构,精装,一梯两户,有,70年,210,14094,城关区,,,
152,2室2厅1厨1卫,中楼层 (共8层),93,平层,暂无数据,板楼,南 北,框架结构,简装,一梯三户,无,70年,95,10216,城关区,,,
153,3室2厅1厨1卫,中楼层 (共8层),88.53,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,无,70年,113,12765,城关区,,,
154,4室2厅1厨2卫,低楼层 (共18层),148.35,平层,116.67㎡,板楼,南 北,钢混结构,其他,两梯两户,有,70年,148,9977,城关区,,,
155,2室2厅1厨1卫,高楼层 (共9层),90.14,平层,暂无数据,板楼,东 西,钢混结构,简装,一梯两户,无,70年,93.5,10373,城关区,,,
156,2室1厅1厨1卫,高楼层 (共30层),92.34,平层,暂无数据,塔楼,西南,框架结构,精装,两梯八户,有,70年,128,13862,城关区,,,
157,2室0厅1厨1卫,中楼层 (共5层),37,平层,暂无数据,板楼,南 北,砖混结构,其他,一梯四户,无,70年,78,21082,城关区,,,
158,2室2厅1厨2卫,中楼层 (共33层),105.79,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,70年,150,14180,城关区,,,
159,3室2厅1厨2卫,低楼层 (共30层),124,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,70年,122,9839,城关区,,,
160,3室2厅1厨2卫,高楼层 (共18层),120.6,平层,暂无数据,板楼,南,框架结构,精装,两梯三户,有,70年,116,9619,城关区,,,
161,4室2厅1厨2卫,中楼层 (共25层),181.2,平层,暂无数据,板楼,南 北,框架结构,精装,三梯两户,有,70年,172,9493,城关区,,,
162,3室2厅1厨2卫,中楼层 (共33层),127,平层,98.07㎡,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,70年,127.5,10040,城关区,,,
163,3室2厅1厨2卫,高楼层 (共18层),127.57,平层,暂无数据,板楼,南,框架结构,精装,两梯三户,有,70年,139.7,10951,城关区,,,
164,5室2厅1厨3卫,中楼层 (共28层),281.88,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,有,70年,275,9756,城关区,,,
165,4室2厅1厨2卫,中楼层 (共18层),148,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯两户,有,70年,159,10744,城关区,,,
166,3室2厅1厨2卫,高楼层 (共26层),135,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,有,70年,134.9,9993,城关区,,,
167,4室2厅1厨3卫,高楼层 (共25层),180,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,有,70年,213,11834,城关区,,,
168,3室2厅1厨2卫,高楼层 (共26层),120.18,平层,暂无数据,板楼,南 北,框架结构,毛坯,一梯五户,无,70年,118,9819,城关区,,,
169,3室2厅1厨2卫,高楼层 (共26层),124,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,70年,125,10081,城关区,,,
170,4室2厅1厨2卫,中楼层 (共18层),140,平层,112.1㎡,板楼,南 北,框架结构,精装,两梯两户,有,70年,149.5,10679,城关区,,,
171,2室2厅1厨1卫,高楼层 (共6层),85.21,平层,74.73㎡,板楼,东 西,砖混结构,精装,一梯两户,无,70年,68,7981,城关区,,,
172,2室2厅1厨1卫,中楼层 (共26层),84.97,平层,66.7㎡,板楼,西北,框架结构,精装,一梯四户,无,70年,118,13888,城关区,,,
173,2室1厅1厨1卫,中楼层 (共8层),61,平层,暂无数据,板楼,东南,框架结构,简装,一梯三户,无,70年,92,15082,城关区,,,
174,3室2厅1厨2卫,中楼层 (共13层),130,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,暂无数据,70年,190,14616,城关区,,,
175,3室2厅1厨1卫,高楼层 (共8层),140.5,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,无,70年,198,14093,城关区,,,
176,3室2厅1厨2卫,低楼层 (共8层),122,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,无,70年,123,10082,城关区,,,
