房屋户型	所在楼层	建筑面积	户型结构	套内面积	建筑类型	房屋朝向	建筑结构	装修情况	梯户比例	配备电梯	产权年限	房屋总价	每平米售价	房屋地区
3室2厅1厨1卫	中楼层 (共8层)	148.6㎡	平层	119.58㎡	板楼	南 北	框架结构	简装	一梯两户	无	70年	185万	12450元/平米	城关区 东方红广场 	
3室2厅1厨2卫	低楼层 (共33层)	115.84㎡	平层	94.73㎡	板塔结合	东南	钢混结构	精装	两梯四户	有	70年	162万	13985元/平米	城关区 北面滩 	
4室2厅1厨2卫	高楼层 (共18层)	137.45㎡	平层	109.49㎡	板楼	南 北	钢混结构	精装	两梯两户	有	70年	174万	12660元/平米	安宁区 莫高大道 	
2室1厅1厨1卫	高楼层 (共9层)	95㎡	平层	73.3㎡	板楼	东 西	框架结构	精装	一梯三户	无	70年	155万	16316元/平米	城关区 兰大盘旋路 	
3室2厅1厨2卫	中楼层 (共17层)	159.77㎡	平层	129.81㎡	板塔结合	南 北	框架结构	简装	一梯三户	有	70年	248万	15523元/平米	城关区 西关南关 	
3室2厅1厨1卫	中楼层 (共12层)	140.83㎡	平层	119.64㎡	板楼	南 北	框架结构	简装	一梯两户	无	70年	215万	15267元/平米	城关区 大润发 	
2室2厅1厨1卫	中楼层 (共6层)	47㎡	平层	暂无数据	板楼	南 西 北	砖混结构	简装	一梯三户	暂无数据	70年	66万	14043元/平米	城关区 火车站 	
3室2厅1厨1卫	高楼层 (共8层)	82㎡	平层	暂无数据	板楼	南 北	框架结构	精装	一梯两户	无	70年	150万	18293元/平米	城关区 火车站 	
2室1厅1厨1卫	中楼层 (共7层)	66㎡	平层	暂无数据	板楼	南 北	框架结构	简装	一梯三户	无	70年	75.8万	11485元/平米	城关区 雁滩高新区 	
2室1厅1厨1卫	低楼层 (共18层)	62.37㎡	平层	暂无数据	板楼	南	框架结构	精装	两梯七户	有	70年	146万	23409元/平米	城关区 东方红广场 	
3室2厅1厨2卫	高楼层 (共30层)	136.45㎡	平层	104.86㎡	板楼	南 北	框架结构	精装	两梯三户	有	70年	135万	9894元/平米	城关区 碧桂园 	
3室2厅1厨2卫	低楼层 (共26层)	136.57㎡	平层	104㎡	板楼	南 北	钢混结构	精装	两梯三户	有	70年	137万	10032元/平米	城关区 碧桂园 	
4室2厅1厨2卫	高楼层 (共25层)	180.71㎡	平层	135.99㎡	板楼	南 北	钢混结构	精装	两梯两户	有	70年	216万	11953元/平米	城关区 碧桂园 	
3室2厅1厨2卫	低楼层 (共26层)	148.3㎡	平层	112.67㎡	板楼	南	框架结构	精装	两梯三户	有	70年	190万	12812元/平米	城关区 碧桂园 	
2室1厅1厨1卫	低楼层 (共32层)	68.58㎡	平层	56.41㎡	板楼	南	框架结构	精装	两梯七户	有	70年	89万	12978元/平米	城关区 雁滩高新区 	
2室2厅1厨1卫	中楼层 (共8层)	96.44㎡	平层	79.47㎡	板楼	南 北	框架结构	精装	一梯两户	有	70年	133万	13791元/平米	城关区 兰大盘旋路 	
3室2厅1厨1卫	中楼层 (共8层)	88.53㎡	平层	暂无数据	板楼	南 北	混合结构	简装	一梯三户	无	70年	113万	12765元/平米	城关区 北面滩 	
3室1厅1厨1卫	中楼层 (共8层)	115.68㎡	平层	暂无数据	板楼	南 北	框架结构	精装	一梯两户	无	50年	138万	11930元/平米	城关区 雁滩高新区 	
2室1厅1厨1卫	高楼层 (共7层)	47㎡	平层	暂无数据	板楼	南 北	框架结构	简装	一梯三户	无	70年	65万	13830元/平米	西固区 西固区 	
2室2厅1厨1卫	低楼层 (共30层)	82.22㎡	平层	66.31㎡	板楼	南	钢混结构	精装	两梯四户	有	70年	104.9万	12759元/平米	安宁区 安宁科教城 	
1室0厅1厨1卫	高楼层 (共25层)	40.67㎡	平层	33.34㎡	塔楼	北	钢混结构	简装	一梯十一户	无	70年	71.9万	17679元/平米	城关区 火车站 	
1室1厅1厨1卫	中楼层 (共25层)	58㎡	平层	暂无数据	板楼	南	钢混结构	毛坯	两梯八户	有	70年	60万	10345元/平米	城关区 碧桂园 	
3室2厅1厨2卫	低楼层 (共26层)	136㎡	平层	暂无数据	板楼	南 北	钢混结构	精装	两梯三户	有	70年	136万	10000元/平米	城关区 碧桂园 	
3室2厅1厨1卫	低楼层 (共24层)	106.27㎡	平层	77.74㎡	板楼	南	钢混结构	精装	两梯三户	有	70年	110万	10351元/平米	城关区 碧桂园 	
4室2厅1厨2卫	低楼层 (共18层)	140㎡	平层	暂无数据	板楼	南 北	钢混结构	精装	两梯两户	有	70年	133万	9500元/平米	城关区 碧桂园 	
3室2厅1厨1卫	中楼层 (共26层)	100.26㎡	平层	77.46㎡	塔楼	南 北	框架结构	精装	两梯四户	有	70年	104万	10374元/平米	城关区 碧桂园 	
3室2厅1厨2卫	中楼层 (共6层)	125.65㎡	平层	暂无数据	板楼	南 北	框架结构	简装	一梯两户	无	70年	215万	17112元/平米	城关区 大润发 	
3室2厅1厨1卫	高楼层 (共29层)	102.22㎡	平层	暂无数据	板楼	南	钢混结构	精装	两梯三户	有	70年	108万	10566元/平米	城关区 碧桂园 	
3室2厅1厨1卫	高楼层 (共29层)	102.22㎡	平层	暂无数据	板楼	南	钢混结构	精装	两梯三户	有	70年	108万	10566元/平米	城关区 碧桂园 	
3室2厅1厨2卫	高楼层 (共32层)	128㎡	平层	暂无数据	板楼	南 北	框架结构	精装	两梯三户	有	70年	198万	15469元/平米	七里河区 曦华源 	
3室2厅1厨1卫	中楼层 (共26层)	101.78㎡	平层	暂无数据	板楼	南 北	框架结构	精装	两梯四户	有	70年	105万	10317元/平米	城关区 碧桂园 	
3室1厅1厨2卫	高楼层 (共6层)	130㎡	平层	暂无数据	暂无数据	东南	未知结构	简装	一梯两户	无	70年	130万	10000元/平米	安宁区 十里店 	
2室2厅1厨1卫	中楼层 (共8层)	80㎡	平层	暂无数据	板楼	南 北	框架结构	简装	一梯两户	有	70年	85万	10625元/平米	西固区 西固区 	
2室2厅1厨1卫	中楼层 (共17层)	93㎡	平层	76.96㎡	板楼	南 北	钢结构	精装	一梯三户	有	70年	96万	10323元/平米	七里河区 龚家湾 	
3室1厅1厨1卫	中楼层 (共5层)	68㎡	平层	暂无数据	板塔结合	南 北	未知结构	精装	一梯三户	无	70年	192万	28236元/平米	城关区 东方红广场 	
3室2厅1厨1卫	低楼层 (共32层)	108㎡	平层	85.35㎡	板楼	南 北	钢混结构	精装	两梯四户	有	70年	160万	14815元/平米	安宁区 莫高大道 	
3室2厅1厨2卫	高楼层 (共18层)	142.74㎡	平层	120.88㎡	塔楼	西 东北	框架结构	简装	一梯三户	暂无数据	70年	218万	15273元/平米	城关区 大润发 	
3室2厅1厨2卫	中楼层 (共24层)	127.51㎡	平层	101.87㎡	板楼	南	框架结构	精装	两梯六户	有	70年	165万	12941元/平米	城关区 北面滩 	
3室2厅1厨1卫	中楼层 (共12层)	110.38㎡	平层	89.31㎡	板楼	南 北	框架结构	简装	一梯两户	暂无数据	70年	148万	13409元/平米	城关区 东部 	
3室2厅1厨2卫	中楼层 (共8层)	115.63㎡	平层	暂无数据	板塔结合	南 北	框架结构	精装	一梯两户	暂无数据	70年	158万	13665元/平米	城关区 西关南关 	
5室2厅1厨3卫	中楼层 (共23层)	334㎡	平层	暂无数据	板楼	南 北	钢混结构	毛坯	两梯两户	有	70年	430万	12875元/平米	城关区 碧桂园 	
2室2厅1厨1卫	低楼层 (共26层)	124㎡	平层	暂无数据	板塔结合	南	钢混结构	毛坯	两梯三户	有	70年	150万	12097元/平米	城关区 碧桂园 	
2室1厅1厨1卫	高楼层 (共33层)	100㎡	复式	77㎡	板楼	南 北	钢混结构	精装	一梯六户	无	70年	260万	26000元/平米	城关区 火车站 	
2室1厅1厨1卫	高楼层 (共8层)	76.41㎡	平层	暂无数据	板楼	南 北	钢结构	简装	一梯三户	无	70年	98万	12826元/平米	城关区 火车站 	
2室1厅1厨1卫	低楼层 (共7层)	49㎡	平层	暂无数据	板楼	南	框架结构	简装	一梯三户	无	70年	55万	11225元/平米	西固区 西固区 	
1室1厅1厨1卫	高楼层 (共30层)	55.8㎡	平层	暂无数据	板楼	南	钢混结构	精装	两梯十户	有	70年	68万	12187元/平米	城关区 碧桂园 	
